Lane number,Team name,Bowler name,Play position,Scratch,Start date,End date
1,Falcons Men,Falcons Men P1,1,210,2026-06-01 10:00,2026-06-01 10:30
1,Falcons Men,Falcons Men P2,2,198,2026-06-01 10:00,2026-06-01 10:30
1,Falcons Men,Falcons Men P3,3,187,2026-06-01 10:00,2026-06-01 10:30
1,Falcons Men,Falcons Men P4,4,176,2026-06-01 10:00,2026-06-01 10:30
1,Falcons Men,Falcons Men P5,5,165,2026-06-01 10:00,2026-06-01 10:30
2,Comets Men,Comets Men P1,1,190,2026-06-01 10:00,2026-06-01 10:30
2,Comets Men,Comets Men P2,2,185,2026-06-01 10:00,2026-06-01 10:30
2,Comets Men,Comets Men P3,3,178,2026-06-01 10:00,2026-06-01 10:30
2,Comets Men,Comets Men P4,4,170,2026-06-01 10:00,2026-06-01 10:30
2,Comets Men,Comets Men P5,5,160,2026-06-01 10:00,2026-06-01 10:30
3,Tigers Men,Tigers Men P1,1,205,2026-06-01 10:00,2026-06-01 10:30
3,Tigers Men,Tigers Men P2,2,195,2026-06-01 10:00,2026-06-01 10:30
3,Tigers Men,Tigers Men P3,3,185,2026-06-01 10:00,2026-06-01 10:30
3,Tigers Men,Tigers Men P4,4,175,2026-06-01 10:00,2026-06-01 10:30
3,Tigers Men,Tigers Men P5,5,165,2026-06-01 10:00,2026-06-01 10:30
4,Hawks Men,Hawks Men P1,1,180,2026-06-01 10:00,2026-06-01 10:30
4,Hawks Men,Hawks Men P2,2,175,2026-06-01 10:00,2026-06-01 10:30
4,Hawks Men,Hawks Men P3,3,170,2026-06-01 10:00,2026-06-01 10:30
4,Hawks Men,Hawks Men P4,4,165,2026-06-01 10:00,2026-06-01 10:30
4,Hawks Men,Hawks Men P5,5,160,2026-06-01 10:00,2026-06-01 10:30
