Lane number,Team name,Bowler name,Play position,Scratch,Start date,End date
1,Falcons Women,Falcons Women P1,1,190,2026-06-01 10:00,2026-06-01 10:30
1,Falcons Women,Falcons Women P2,2,180,2026-06-01 10:00,2026-06-01 10:30
1,Falcons Women,Falcons Women P3,3,170,2026-06-01 10:00,2026-06-01 10:30
1,Falcons Women,Falcons Women P4,4,160,2026-06-01 10:00,2026-06-01 10:30
2,Comets Women,Comets Women P1,1,185,2026-06-01 10:00,2026-06-01 10:30
2,Comets Women,Comets Women P2,2,175,2026-06-01 10:00,2026-06-01 10:30
2,Comets Women,Comets Women P3,3,165,2026-06-01 10:00,2026-06-01 10:30
2,Comets Women,Comets Women P4,4,155,2026-06-01 10:00,2026-06-01 10:30
3,Tigers Women,Tigers Women P1,1,200,2026-06-01 10:00,2026-06-01 10:30
3,Tigers Women,Tigers Women P2,2,190,2026-06-01 10:00,2026-06-01 10:30
3,Tigers Women,Tigers Women P3,3,180,2026-06-01 10:00,2026-06-01 10:30
3,Tigers Women,Tigers Women P4,4,170,2026-06-01 10:00,2026-06-01 10:30
4,Hawks Women,Hawks Women P1,1,175,2026-06-01 10:00,2026-06-01 10:30
4,Hawks Women,Hawks Women P2,2,165,2026-06-01 10:00,2026-06-01 10:30
4,Hawks Women,Hawks Women P3,3,155,2026-06-01 10:00,2026-06-01 10:30
4,Hawks Women,Hawks Women P4,4,145,2026-06-01 10:00,2026-06-01 10:30
